City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
99,Yulara,AU,82.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
100,Ailigandi,PA,79.12,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
104,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
106,Victoria,HK,88.25,clear sky,22.2855,114.1577,Mini Hotel Central
107,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
110,Arraial Do Cabo,BR,75.09,clear sky,-22.9661,-42.0278,Pousada Porto Praia
114,Pedernales,DO,77.56,scattered clouds,18.0384,-71.744,Hotel Costa Marina
121,Puerto Ayora,EC,72.12,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
123,Isangel,VU,79.3,overcast clouds,-19.55,169.2667,Tanna Lodge
125,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
126,Sao Filipe,CV,72.81,few clouds,14.8961,-24.4956,Hotel Xaguate
130,Hilo,US,80.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
132,Ternate,ID,86.36,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
133,Gashua,NG,80.98,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
139,Namibe,AO,71.46,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
141,Araouane,ML,71.6,clear sky,18.9048,-3.5265,
147,Guanica,PR,74.95,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
160,Banda Aceh,ID,86.5,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
162,Padilla,CO,71.17,overcast clouds,3.2204,-76.3139,La Granadina
165,Thinadhoo,MV,84.33,overcast clouds,0.5333,72.9333,
167,Sao Borja,BR,81.95,overcast clouds,-28.6606,-56.0044,Hotel Executivo
170,Maldonado,UY,75.22,broken clouds,-34.6667,-54.9167,La Cimarrona
171,Progreso,MX,79.11,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
172,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
173,Gorontalo,ID,81.23,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
174,Umm Lajj,SA,80.83,broken clouds,25.0213,37.2685,Moon light Furnished Units
178,Kailua,US,80.02,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
180,Champerico,GT,84.02,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
181,Bubaque,GW,79.02,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
182,Sibolga,ID,86.92,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
183,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
185,Kavaratti,IN,85.05,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
187,Boyolangu,ID,86.0,overcast clouds,-8.1181,111.8935,Yos ega cv
189,Arlit,NE,76.37,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
192,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
193,Santo Domingo,DO,75.04,few clouds,18.5001,-69.9886,Cabañas City Heart
196,Saint-Pierre,RE,75.29,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
199,Carnarvon,AU,75.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
201,Maymyo,MM,87.69,clear sky,22.0333,96.4667,Tiger Hotel
206,Neiafu,TO,77.68,moderate rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
208,Airai,TL,76.01,overcast clouds,-8.9266,125.4092,
211,Taoudenni,ML,72.66,clear sky,22.6783,-3.9836,
216,Grand Gaube,MU,75.6,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
217,Biak,ID,77.02,light rain,-0.9131,122.8766,Penginapan Kim
220,Kattivakkam,IN,88.07,clear sky,13.2167,80.3167,Euronova Freezer
224,Bosaso,SO,83.73,few clouds,11.2842,49.1816,Red Sea Hotel
