City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
105,Korla,CN,41.7597,86.1469,63.25,31,2,9.46,clear sky
106,Victoria,HK,22.2855,114.1577,88.25,88,0,1.01,clear sky
107,Port Hedland,AU,-20.3167,118.5667,84.25,54,100,8.05,overcast clouds
108,Severo-Kurilsk,RU,50.6789,156.125,33.55,81,100,16.37,overcast clouds
109,Fujin,CN,47.26,132.0322,48.36,30,14,29.46,few clouds
110,Arraial Do Cabo,BR,-22.9661,-42.0278,75.09,91,1,15.21,clear sky
111,Olafsvik,IS,64.8945,-23.7142,42.24,77,92,3.06,overcast clouds
112,Isiro,CD,2.7739,27.616,66.33,91,100,1.88,overcast clouds
113,Opuwo,NA,-18.0607,13.84,64.65,43,6,4.68,clear sky
114,Pedernales,DO,18.0384,-71.744,77.56,70,48,3.85,scattered clouds
115,Bozeman,US,45.6796,-111.0386,47.19,70,84,7.0,broken clouds
116,Prince Rupert,CA,54.3161,-130.3201,42.49,93,0,6.91,clear sky
117,La Ronge,CA,55.1001,-105.2842,37.65,38,40,10.36,scattered clouds
118,Qaanaaq,GL,77.484,-69.3632,10.83,60,39,8.72,scattered clouds
119,Lavumisa,SZ,-27.31,31.892,56.25,84,27,3.69,scattered clouds
120,Sosnogorsk,RU,63.6023,53.8817,34.93,80,100,8.68,overcast clouds
121,Puerto Ayora,EC,-0.7393,-90.3518,72.12,87,25,4.63,scattered clouds
122,Plouzane,FR,48.3833,-4.6167,48.25,87,0,10.36,clear sky
123,Isangel,VU,-19.55,169.2667,79.3,58,100,17.54,overcast clouds
124,Grindavik,IS,63.8424,-22.4338,41.47,93,0,2.3,clear sky
125,Avarua,CK,-21.2078,-159.775,84.25,74,40,5.75,scattered clouds
126,Sao Filipe,CV,14.8961,-24.4956,72.81,72,16,12.19,few clouds
127,Pizhma,RU,57.8642,47.1171,47.19,84,100,4.94,overcast clouds
128,Kaitangata,NZ,-46.2817,169.8464,53.71,78,85,4.03,overcast clouds
129,Inhambane,MZ,-23.865,35.3833,69.17,70,0,10.89,clear sky
130,Hilo,US,19.7297,-155.09,80.28,85,75,9.22,broken clouds
131,Aktau,KZ,43.65,51.2,64.98,37,99,17.54,overcast clouds
132,Ternate,ID,0.8,127.4,86.36,66,33,4.16,scattered clouds
133,Gashua,NG,12.871,11.0482,80.98,12,83,8.81,broken clouds
134,Berlevag,NO,70.8578,29.0864,19.4,74,100,30.85,light snow
135,Longyearbyen,SJ,78.2186,15.6401,3.04,55,40,6.91,scattered clouds
136,Norman Wells,CA,65.282,-126.8329,39.24,60,75,8.05,broken clouds
137,Ekuvukeni,ZA,-28.4675,30.1551,49.73,91,88,2.06,overcast clouds
138,Agirish,RU,61.9247,63.0231,47.86,92,99,6.11,overcast clouds
139,Namibe,AO,-15.1961,12.1522,71.46,72,1,4.0,clear sky
140,Pathein,MM,16.7833,94.7333,95.05,42,98,10.36,overcast clouds
141,Araouane,ML,18.9048,-3.5265,71.6,26,0,9.19,clear sky
142,Pisco,PE,-13.7,-76.2167,66.02,88,0,10.36,clear sky
143,Donskoye,RU,45.4552,41.9741,64.53,81,22,10.76,few clouds
144,Sorland,NO,67.667,12.6934,32.65,55,100,15.41,overcast clouds
145,Laguna,US,38.421,-121.4238,65.75,56,0,8.05,clear sky
146,Kovin,RS,44.7475,20.9761,54.9,83,62,1.54,broken clouds
147,Guanica,PR,17.9716,-66.908,74.95,80,35,4.83,scattered clouds
148,Half Moon Bay,US,37.4636,-122.4286,56.01,78,40,12.66,haze
149,Zhigansk,RU,66.7697,123.3711,22.57,79,25,15.66,scattered clouds
150,Livingston,GB,55.9029,-3.5226,41.27,88,100,3.44,overcast clouds
151,Port Elizabeth,ZA,-33.918,25.5701,57.49,72,0,3.44,clear sky
152,Talara,PE,-4.5772,-81.2719,67.5,88,44,13.87,scattered clouds
153,Bethel,US,41.3712,-73.414,54.63,93,100,3.15,light rain
154,Castro,BR,-24.7911,-50.0119,61.21,90,27,3.44,scattered clouds
155,Husavik,IS,66.0449,-17.3389,36.37,99,100,7.09,overcast clouds
156,Powell River,CA,49.8496,-124.5361,48.2,79,41,2.35,scattered clouds
157,Lagoa,PT,39.05,-27.9833,61.72,93,74,20.96,broken clouds
158,Otanche,CO,5.6567,-74.1825,66.61,98,100,2.48,overcast clouds
159,Ardahan,TR,41.1087,42.7022,49.06,79,71,1.88,broken clouds
160,Banda Aceh,ID,5.5577,95.3222,86.5,71,100,6.55,overcast clouds
161,Salina,US,38.8403,-97.6114,58.3,40,62,8.01,broken clouds
